0   0.0        0.0         0
1 ! 0.0        0.01367187  7
2 " 0.01464843 0.0234375   5
3 # 0.00585938 0.0136719   8
4 $ 0.0146484  0.0195313   5
5 % 0.0205078  0.0302734   10
6 & 0.03125    0.0390625   8
7 ' 0.0400391  0.0410156   1
8 ( 0.0419922  0.0449219   3
9 ) 0.0458984  0.0488281   3
10 * 0.0498047  0.0546875   5
11 + 0.0556641  0.0625      7
12 , 0.0634766  0.0644531   1
13 - 0.0654297  0.0683594   3
14 . 0.0693359  0.0703125   1
15 / 0.0712891  0.0751953   4
16 0 0.0761719  0.0820313   6
17 1 0.0830078  0.0859375   3
18 2 0.0869141  0.0927734   6
19 3 0.09375    0.0996094   6
20 4 0.100586   0.106445    6
21 5 0.107422   0.113281    6
22 6 0.114258   0.120117    6
23 7 0.121094   0.126953    6
24 8 0.12793    0.133789    6
25 9 0.134766   0.140625    6
26 : 0.141602   0.142578    1
27 ; 0.143555   0.144531    1
28 < 0.145508   0.151367    6
29 = 0.152344   0.15918     7
30 > 0.160156   0.166016    6
31 ? 0.166992   0.171875    5
32 @ 0.172852   0.18457     12
33 A 0.185547   0.194336    9
34 B 0.195313   0.202148    7
35 C 0.203125   0.209961    7
36 D 0.210938   0.217773    7
37 E 0.21875    0.225586    7
38 F 0.226563   0.232422    6
39 G 0.233398   0.241211    8
40 H 0.242188   0.249023    7
41 I 0.25       0.250977    1
42 J 0.251953   0.256836    5
43 K 0.257813   0.265625    8
44 L 0.266602   0.272461    6
45 M 0.273438   0.282227    9
46 N 0.283203   0.290039    7
47 O 0.291016   0.298828    8
48 P 0.299805   0.306641    7
49 Q 0.307617   0.31543     8
50 R 0.316406   0.323242    7
51 S 0.324219   0.331055    7
52 T 0.332031   0.338867    7
53 U 0.339844   0.34668     7
54 V 0.347656   0.356445    9
55 W 0.357422   0.370117    13
56 X 0.371094   0.37793     7
57 Y 0.378906   0.385742    7
58 Z 0.386719   0.393555    7
59 [ 0.394531   0.396484    2
60 \ 0.397461   0.401367    4
61 ] 0.402344   0.404297    2
62 ^ 0.405273   0.410156    5
63 _ 0.411133   0.417969    7
64 ` 0.418945   0.420898    2
65 a 0.421875   0.426758    5
66 b 0.427734   0.432617    5
67 c 0.433594   0.438477    5
68 d 0.439453  0.444336    5
69 e 0.445313  0.450195    5
70 f 0.451172  0.455078    4
71 g 0.456055  0.460938    5
72 h 0.461914  0.466797    5
73 i 0.467773  0.46875     1
74 j 0.469727  0.472656    3
75 k 0.473633  0.478516    5
76 l 0.479492  0.480469    1
77 m 0.481445  0.490234    9
78 n 0.491211  0.496094    5
79 o 0.49707   0.501953    5
80 p 0.50293   0.507813    5
81 q 0.508789  0.513672    5
82 r 0.514648  0.517578    3
83 s 0.518555  0.523438    5
84 t 0.524414  0.527344    3
85 u 0.52832   0.533203    5
86 v 0.53418   0.539063    5
87 w 0.540039  0.548828    9
88 x 0.549805  0.554688    5
89 y 0.555664  0.560547    5
90 z 0.561523  0.566406    5
91 { 0.567383  0.570313    3
92 | 0.571289  0.572266    1
93 } 0.573242  0.576172    3
94 ~ 0.577148  0.583984    7
